town,submarket_or_compound,listings,median_price,median_price_per_sqm,property_types
New Cairo City,Al Gezira St.,8,4050000.0,22902.097902097903,2
New Cairo City,District 1,8,11500000.0,32916.66666666667,3
Al Ain Al Sokhna,Stella Di Mare 1,8,5500000.0,50227.27272727273,3
New Cairo City,Dyar,8,38500000.0,67487.78232730154,2
6 October City,Beit Alwatan,8,3975000.0,23382.352941176472,1
6 October City,Pyramids Walk,8,14250000.0,39808.743169398906,3
Mostakbal City - Future City,Mountain View Mostakbal City,7,7554960.0,62958.0,2
Sheikh Zayed City,Al Joman,7,6000000.0,33088.23529411765,2
6 October City,Al Patio,7,19500000.0,80000.0,2
New Capital City,Queen Land,7,4600000.0,36414.0,1
Hurghada,Sunrise Garden Beach Resort,7,6591020.0,72402.05128205128,1
New Capital City,El Patio Jade,7,870800.0,17416.0,2
6 October City,District 300,7,3600000.0,12500.0,2
New Capital City,il Mondo,7,5985000.0,28125.0,1
Sheikh Zayed City,The 8,7,14193300.0,44664.03162055336,3
6 October City,Ever,7,8150000.0,52243.58974358974,1
New Cairo City,Area G,7,7700000.0,33478.260869565216,2
Shorouk City,Aljar,7,6000000.0,47826.086956521736,1
Mostakbal City - Future City,Valda Village,7,7783000.0,49600.0,1
Sheikh Zayed City,Al Karma 1,7,5150000.0,24489.79591836735,2
Sheikh Zayed City,Al Nozha St.,7,5150000.0,31407.0351758794,1
Sheikh Zayed City,Al Mostathmir El Saghir,7,5000000.0,29411.764705882353,1
Nasr City,Capital East,7,2500000.0,22222.222222222223,1
Sheikh Zayed City,Genova,7,5150000.0,24489.79591836735,1
New Cairo City,Jadie Residence,7,4689960.0,45833.333333333336,1
New Cairo City,Al Patio 2,7,30500000.0,82191.78082191781,3
6 October City,Mountain View Giza Plateau,7,5000000.0,23809.52380952381,3
New Cairo City,El Patio Riva,7,9681000.0,76089.7435897436,2
6 October City,Mena Garden City,7,31000000.0,61011.90476190476,2
New Cairo City,Mirage City,7,60000000.0,103333.33333333333,3
Obour City,Al Mushir Abu Ghazaleh St.,7,5510000.0,29000.0,2
Hay El Maadi,Degla Square,7,6500000.0,35294.117647058825,2
Hurghada,Ras Soma,6,8400000.0,97113.50293542075,2
Hurghada,Tawila El Gouna,6,13100000.0,101428.57142857143,3
6 October City,BETA Residence,6,5340400.0,37614.52380952381,1
Mokattam,Alto,6,14400000.0,101515.01364877161,2
Hurghada,1st Avenue South side,6,4019500.0,57750.0,1
El Nozha,Rock Yard,6,4252000.0,43783.828382838285,1
Hurghada,Bali,6,11651020.0,106243.00323508267,3
6 October City,Elm,6,7294675.5,68270.83660869565,2
Marsa Alam,Unknown,6,6600000.0,55977.18797982014,3
Hay Sharq,Sky line,6,9350000.0,50000.0,2
Sheikh Zayed City,Al Nada,6,6125000.0,31797.2675879397,1
New Cairo City,Zomra East,6,16804000.0,92000.76923076923,4
New Capital City,Kardia,6,5223980.0,31959.125416123898,2
Ganoub El Giza,Al Nile  St.,6,13250000.0,65439.300036456436,1
Mostakbal City - Future City,East Vale,6,15300000.0,131126.82379349045,3
Mostakbal City - Future City,Scenes,6,17287500.0,98875.92137592137,3
New Cairo City,El Banafseg 12,6,7250000.0,38602.94117647059,2
Hay El Maadi,Zahraa Al Maadi St.,6,4180000.0,28751.544958286126,1
Sheikh Zayed City,Dar Misr,6,4350000.0,33461.53846153846,1
New Cairo City,Midtown,6,13600000.0,56726.00955275727,2
Al Alamein,Downtown,6,6134495.0,37950.892870846445,2
Al Alamein,Marina 1,6,7950000.0,71698.94366197183,2
New Cairo City,El Patio Vida,6,10550000.0,65714.28571428571,2
6 October City,West Somid Road,6,6700000.0,49057.01754385965,1
6 October City,Hood 10 Side St.,6,8075000.0,32725.694444444445,1
6 October City,Central St.,6,4675000.0,23270.20202020202,1
Hay El Maadi,Tabarak,6,10750000.0,40316.35802469136,2
New Cairo City,AiAngle City Mall,6,4392500.0,27004.901960784315,1
Mostakbal City - Future City,Park Central,6,19050000.0,102982.45614035087,4
6 October City,Hood 1 St.,6,10870600.0,41830.338680926914,2
Sheikh Zayed City,Al Karma 2,6,4575000.0,24009.603841536613,1
6 October City,Al Nasayem Village,5,18800000.0,61011.90476190476,3
New Capital City,Vinci,5,6000000.0,41666.666666666664,2
New Capital City,Rhodes,5,5400000.0,19244.18604651163,2
Hurghada,Cyan,5,36000000.0,205714.2857142857,3
Cairo - Ismailia Desert Road,Unknown,5,6400000.0,28750.0,1
Hay Sharq,Smouha Square,5,4500000.0,36000.0,1
Hurghada,Florenza Khamsin Resort,5,2876229.0,56994.63157894737,1
Mostakbal City - Future City,Aliva,5,7482500.0,49518.2,1
Sheikh Zayed City,Greens,5,4650000.0,29062.5,2
Hurghada,Al Hambra Waterfalls,5,2673000.0,49500.0,1
Hurghada,Ancient Hill,5,18500000.0,132142.85714285713,3
